"codigo_nacional_farmaco_cd"|"codigo_descripcion"|"atc_farmaco_dispensado_cd"|"ddd_nomenclator_nm"|"ddd_por_envase"|"pvp_nomenclator_nm"|"precio_por_envase_nm"|"clase_aware_cd"
"705194"|"AMOXICILINA MUNDO FARM 250MG/5ML 60ML 1 FRASCO SUSPENSION ORAL EFG"|"J01CA04"|1500|2|2.54|2.54|"Access"
"770305"|"HORTFENICOL 30MG/5ML 250ML SUSPENSION"|"J01BA01"|3000|0.5|1.67|1.67|"Access"
"976217"|"AMPICILINA ANTIBIOTICOS 250MG/5ML 60ML SUSPENSION EXTEMPORANEA"|"J01CA01"|2000|1.5|1.1|1.1|"Access"
"841635"|"ULTRABION 125MG/5ML 120ML SUSPENSION EXTEMPORANEA"|"J01CA01"|2000|1.5|1.83|1.83|"Access"
"895094"|"LERVIPAN 125MG 120ML SUSPENSION"|"J01CA02"|1050|2.86|2.16|2.16|"Access"
"895086"|"LERVIPAN 125MG 60ML SUSPENSION"|"J01CA02"|1050|1.43|1.42|1.42|"Access"
"731075"|"CLAMOXYL 250MG/5ML 60ML SUSPENSION EXTEMPORANEA"|"J01CA04"|1500|2|2.65|2.65|"Access"
"845743"|"VENZOQUIMPE 200MG/5ML 120ML SOLUCION EXTEMPORANEA"|"J01CA14"|1500|3.2|2.69|2.69|"Access"
"845750"|"VENZOQUIMPE 200MG/5ML 60ML SOLUCION EXTEMPORANEA"|"J01CA14"|1500|1.6|1.7|1.7|"Access"
"740027"|"DARKEPEN 250MG/5ML 60ML SUSPENSION ORAL"|"J01CA14"|1500|2|1.53|1.53|"Access"
"868687"|"METAMPICILINA KARIFARM 125MG/5ML 60ML SUSPENSION ORAL"|"J01CA14"|1500|1|0.99|0.99|"Access"
"829390"|"SUPERPENI 250MG/5ML 120ML POLVO SUSPENSION ORAL"|"J01CA04"|1500|4|2.89|2.89|"Access"
"829408"|"SUPERPENI 250MG/5ML 60ML SUSPENSION ORAL"|"J01CA04"|1500|2|2.39|2.39|"Access"
"787572"|"MICINOVO 250MG/5ML 60ML SUSPENSION ORAL"|"J01CA14"|1500|2|1.75|1.75|"Access"
"715896"|"BENDRALAN 125MG/5ML 60ML SUSPENSION ORAL"|"J01CE02"|2000|0.75|1.76|1.76|"Access"
"738898"|"CUSISPORINA CEFALEXINA 250MG/5ML 60ML SUSPENSION ORAL"|"J01DB01"|2000|1.5|2.56|2.56|"Access"
"823393"|"SEROMICINA 125MG/5ML 120ML SUSPENSION ORAL"|"J01DB01"|2000|1.5|2.27|2.27|"Access"
"727099"|"CEFALIVAL 125MG/5ML 60ML SUSPENSION ORAL"|"J01DB01"|2000|0.75|1.82|1.82|"Access"
"879692"|"CEFALEXINA CINFA 250MG/5ML 60ML SUSPENSION ORAL"|"J01DB01"|2000|1.5|2.42|2.42|"Access"
"746446"|"CECLOR 125MG/5ML 1 FRASCO 100ML GRANULADO SUSPENSION ORAL"|"J01DC04"|1000|2.5|6.62|6.62|"Watch"
"746701"|"CECLOR 250MG/5ML 1 FRASCO 100ML GRANULADO SUSPENSION ORAL"|"J01DC04"|1000|5|10.45|10.45|"Watch"
"822602"|"SEFRIL-HEYDEN 125MG/5ML 120ML SUSPENSION ORAL"|"J01DB09"|2000|1.5|3.6|3.6|"Access"
"822594"|"SEFRIL-HEYDEN FORTE 250MG/5ML 60ML SUSPENSION ORAL"|"J01DB09"|2000|1.5|3.61|3.61|"Access"
"727768"|"CEFRAL 125MG/5ML 120ML SUSPENSION EXTEMPORANEA"|"J01DB09"|2000|1.5|4.5|4.5|"Access"
"845397"|"VELOCEF 125MG/5ML 120ML SUSPENSION ORAL"|"J01DB09"|2000|1.5|4.05|4.05|"Access"
"690818"|"OTREON PEDIATRICO 40MG/5ML 50ML SUSPENSION EXTEMPORANEA"|"J01DD13"|400|1|6.88|6.88|"Watch"
"807461"|"PIVACILIN-BASE 170MG/5ML 60ML SUSPENSION ORAL"|"J01CA02"|1050|1.94|2.41|2.41|"Access"
"819368"|"ROGERIDINA CEFALEXINA 250MG/5ML 60ML SUSPENSION"|"J01DB01"|2000|1.5|2.66|2.66|"Access"
"673335"|"CLAVEPEN 125MG/31,25MG 120ML SUSPENSION EXTEMPORANEA"|"J01CR02"|1500|2|4.12|4.12|"Access"
"994871"|"BACIMEX 250MG/5ML 60ML SUSPENSION ORAL"|"J01CR04"|1500|2|7.18|7.18|"Access"
"773911"|"JANOCILIN 250MG/5ML 60ML SUSPENSION ORAL"|"J01DB01"|2000|1.5|2.56|2.56|"Access"
"794728"|"NILEXINA 125MG/5ML 120ML SUSPENSION"|"J01DB01"|2000|1.5|2.36|2.36|"Access"
"967992"|"CLAVUMOX 125/31,25MG 60ML SUSPENSION ORAL"|"J01CR02"|1500|1|1.99|1.99|"Access"
"673343"|"CLAVEPEN 125MG/31,25MG 60ML SUSPENSION EXTEMPORANEA"|"J01CR02"|1500|1|2.43|2.43|"Access"
"831867"|"TALINSUL 125MG/5ML 60ML SUSPENSION EXTEMPORANEA"|"J01DB01"|2000|0.75|1.91|1.91|"Access"
"831917"|"TALINSUL 250MG/5ML 60ML SUSPENSION EXTEMPORANEA"|"J01DB01"|2000|1.5|2.71|2.71|"Access"
"779868"|"LIBESPORAL 125MG/5ML 60ML SUSPENSION ORAL"|"J01DB01"|2000|0.75|1.87|1.87|"Access"
"727644"|"CEFIBACTER 250MG/5ML 60ML SUSPENSION ORAL"|"J01DB01"|2000|1.5|2.52|2.52|"Access"
"904334"|"CEFALOTICUM 125MG/5ML 60ML SUSPENSION EXTEMPORANEA"|"J01DB01"|2000|0.75|1.48|1.48|"Access"
"726984"|"CEFALEXINA LLORENTE 250MG/5ML 60ML SUSPENSION ORAL"|"J01DB01"|2000|1.5|2.66|2.66|"Access"
"935924"|"CEFALEXINA LAFSA 125MG/5ML 120ML SUSPENSION ORAL"|"J01DB01"|2000|1.5|2.27|2.27|"Access"
"837476"|"TORLASPORIN 250MG/5ML 60ML SUSPENSION ORAL"|"J01DB01"|2000|1.5|3.19|3.19|"Access"
"821660"|"CEFALEXINA IBYS 125MG/5ML 120ML SUSPENSION ORAL"|"J01DB01"|2000|1.5|2.57|2.57|"Access"
"903070"|"CEFADINA 250MG/5ML 60ML SUSPENSION ORAL"|"J01DB01"|2000|1.5|2.95|2.95|"Access"
"821678"|"CEFALEXINA IBYS 125MG/5ML 60ML SUSPENSION ORAL"|"J01DB01"|2000|0.75|1.85|1.85|"Access"
"821686"|"CEFALEXINA IBYS 250MG/5ML 60ML SUSPENSION ORAL"|"J01DB01"|2000|1.5|2.58|2.58|"Access"
"779588"|"LEXIBIOTICO 250MG/5ML 120ML SUSPENSION ORAL"|"J01DB01"|2000|3|3.83|3.83|"Access"
"778795"|"LEFOSPORINA 250MG/5ML 60ML SUSPENSION EXTEMPORANEA"|"J01DB01"|2000|1.5|2.58|2.58|"Access"
"880824"|"NILEXINA 125MG/5ML 60ML SUSPENSION ORAL"|"J01DB01"|2000|0.75|1.69|1.69|"Access"
"942277"|"ORTISPORINA 250MG/5ML 60ML SUSPENSION"|"J01DB01"|2000|1.5|2.14|2.14|"Access"
"779850"|"LIBESPORAL 125MG/5ML 120ML SUSPENSION ORAL"|"J01DB01"|2000|1.5|2.6|2.6|"Access"
"951863"|"DURACEF 250MG/5ML 60ML 1 FRASCO SUSPENSION ORAL"|"J01DB05"|2000|1.5|5.38|5.38|"Access"
"731935"|"CHLOROMYCETIN PALMITATO 125MG/5ML 60ML SUSPENSION"|"J01BA01"|3000|0.5|1.91|1.91|"Access"
"681395"|"JOSAMINA 500MG/5ML 100ML 1 FRASCO SUSPENSION ORAL"|"J01FA07"|2000|5|15.08|15.08|"Watch"
"946657"|"JOSAMINA 250MG/5ML 100ML 1 FRASCO SUSPENSION ORAL"|"J01FA07"|2000|2.5|8.71|8.71|"Watch"
"832320"|"TAO 125MG/5ML 120ML SUSPENSION ORAL"|"J01FA08"|1000|3|0|0|"Watch"
"756791"|"BREMON 125MG/5ML 100ML SUSPENSION ORAL EXTEMPORANEA"|"J01FA09"|500|5|15.24|15.24|"Watch"
"689182"|"BREMON 250MG/5ML 100ML SUSPENSION ORAL EXTEMPORANEA"|"J01FA09"|500|10|27.89|27.89|"Watch"
"717579"|"VALESPORIN 250MG/5ML 60ML SUSPENSION ORAL"|"J01DB01"|2000|1.5|2.61|2.61|"Access"
"848838"|"WINTOMYLON 250MG/5ML 120ML SUSPENSION ORAL"|"J01MB02"|4000|1.5|2.51|2.51|"Access"
"845405"|"VELOCEF 125MG/5ML 60ML SUSPENSION ORAL"|"J01DB09"|2000|0.75|2.46|2.46|"Access"
"997957"|"BACIMEX 250MG/5ML 120ML SUSPENSION ORAL"|"J01CR04"|1500|4|14.19|14.19|"Access"
"550379"|"ZINNAT 250MG/5ML 70ML GRANULADO SUSPENSION ORAL"|"J01DC02"|500|7|4.34|4.34|"Watch"
"885012"|"LINCOMICINA PHARMACIA UPJOHN 250MG/5ML 60ML JARABE"|"J01FF02"|1800|1.67|0|0|"Watch"
"571020"|"AMIKACINA 500MG 1 ENVASE 4ML SOLUCION INHALACION (FM)"|"J01GB06"|590|0.847457627118644|0|0|"Access"
"904821"|"ULTRABION 125MG/5ML 60ML SUSPENSION EXTEMPORANEA"|"J01CA01"|2000|0.75|1.42|1.42|"Access"
"639229"|"EUPEN 500MG 500 SOBRES MONODOSIS SUSPENSION ORAL"|"J01CA04"|1500|166.66|73.74|73.74|"Access"
"711044"|"ARDINE 125MG 16 SOBRES POLVO SUSPENSION ORAL"|"J01CA04"|1500|1.33|2.62|2.62|"Access"
"997734"|"GLOBUCE 250MG 10 COMPRIMIDOS"|"J01MA02"|1000|2.5|0|0|"Watch"
"656854"|"CETRAXAL 750MG 10 COMPRIMIDOS RECUBIERTOS"|"J01MA02"|1000|7.5|2.75|2.75|"Watch"
"964262"|"FORTAM 1G 1 VIAL INYECTABLE POLVO Y DISOLVENTE SOLUCION"|"J01DD02"|4000|0.25|5.68|5.68|"Watch"
"764621"|"ALTEZYM 500MG 3 COMPRIMIDOS RECUBIERTOS CON PELICULA"|"J01FA10"|300|5|5.96|5.96|"Watch"
"755942"|"FARMAPROINA 600.000UI 1 VIAL POLVO + 1 AMPOLLA DISOLV SUSP INYECTABLE"|"J01CE09"|600|0.62|1.47|1.47|"Access"
"653432"|"BENORAL 250.000UI/5ML 120ML 1 FRASCO SUSPENSION ORAL"|"J01CE10"|2000|1.87|4.06|4.06|"Access"
"869586"|"BENORAL 250.000UI/5ML 60ML 1 FRASCO SUSPENSION ORAL"|"J01CE10"|2000|0.93|2.36|2.36|"Access"
"715987"|"BENORAL 250.000UI/5ML 120ML 1 FRASCO SUSPENSION ORAL"|"J01CE10"|2000|1.87|3.12|3.12|"Access"
"739193"|"AMOXICILINA BOHM 500MG 12 CAPSULAS"|"J01CA04"|1500|4|2.4|2.4|"Access"
"655571"|"AMOXICILINA ARDINE 500MG 24 SOBRES POLVO SUSPENSION ORAL EFG"|"J01CA04"|1500|8|3.15|3.15|"Access"
"709998"|"APAMOX 250MG/5ML 60ML SUSPENSION EXTEMPORANEA"|"J01CA04"|1500|2|2.62|2.62|"Access"
"883819"|"AMOXICILINA GEMINIS 750MG 24 COMPRIMIDOS RECUBIERTOS EFG"|"J01CA04"|1500|12|7.02|7.02|"Access"
"850487"|"AMOXICILINA JUVENTUS 500MG 24 CAPSULAS EFG"|"J01CA04"|1500|8|2.5|2.5|"Access"
"850545"|"AMOXICILINA CINFA 1G 12 COMPRIMIDOS EFG"|"J01CA04"|1500|8|3.06|3.06|"Access"
"715649"|"AMOXICILINA SANDOZ 750MG 12 COMPRIMIDOS RECUBIERTOS EFG"|"J01CA04"|1500|6|2.89|2.89|"Access"
"716597"|"AMOXICILINA SANDOZ 1000MG 12 COMPRIMIDOS RECUBIERTOS EFG"|"J01CA04"|1500|8|3.06|3.06|"Access"
"815191"|"AMOXICILINA EDIGEN 1G 12 COMPRIMIDOS EFG"|"J01CA04"|1500|8|3.06|3.06|"Access"
"815209"|"AMOXICILINA EDIGEN 1G 12 SOBRES POLVO SUSPENSION ORAL EFG"|"J01CA04"|1500|8|3.12|3.12|"Access"
"776625"|"AMOXICILINA CINFA 500MG 12 CAPSULAS EFG"|"J01CA04"|1500|4|1.45|1.45|"Access"
"792853"|"AMOXICILINA ARISTO 250MG/5ML 60ML 1 FRASCO SUSPENSION ORAL EFG"|"J01CA04"|1500|2|2.08|2.08|"Access"
"792895"|"AMOXICILINA EDIGEN 500MG SUSPENSION ORAL 16 SOBRES EFG"|"J01CA04"|1500|5.33|2.9|2.9|"Access"
"792903"|"AMOXICILINA EDIGEN 500MG 12 CAPSULAS EFG"|"J01CA04"|1500|4|1.45|1.45|"Access"
"755801"|"AMOXICILINA UR 500MG 24 CAPSULAS"|"J01CA04"|1500|8|3.9|3.9|"Access"
"759134"|"AMOXI-GOBENS 500MG 24 CAPSULAS"|"J01CA04"|1500|8|2.5|2.5|"Access"
"831529"|"AMOXICILINA NORMON 1G 12 SOBRES EFG"|"J01CA04"|1500|8|3.12|3.12|"Access"
"831545"|"AMOXICILINA NORMON 500MG 16 SOBRES SOLUCION ORAL EFG"|"J01CA04"|1500|5.33|2.97|2.97|"Access"
"831552"|"AMOXICILINA NORMON 500MG 24 SOBRES SOLUCION ORAL EFG"|"J01CA04"|1500|8|3.09|3.09|"Access"
"831578"|"AMOXICILINA NORMON 250MG/SOBRE 16 SOBRES POLVO SOLUCION ORAL EFG"|"J01CA04"|1500|2.66|2.31|2.31|"Access"
"747741"|"AMOXICILINA NORMON 500MG 12 CAPSULAS EFG"|"J01CA04"|1500|4|2.26|2.26|"Access"
"747816"|"AMOXICILINA NORMON 500MG 24 CAPSULAS EFG"|"J01CA04"|1500|8|4.03|4.03|"Access"
"939314"|"AMOXICILINA ARDINE 250MG/5ML FRASCO 120ML POLVO SUSPENSION ORAL"|"J01CA04"|1500|4|2.29|2.29|"Access"
"715342"|"AMOXICILINA PENSA 500MG 12 CAPSULAS DURAS EFG"|"J01CA04"|1500|4|1.45|1.45|"Access"
"715383"|"AMOXICILINA PENSA 750MG 12 COMPRIMIDOS RECUBIERTOS EFG"|"J01CA04"|1500|6|2.89|2.89|"Access"
"715409"|"AMOXICILINA PENSA 1G 12 COMPRIMIDOS RECUBIERTOS EFG"|"J01CA04"|1500|8|3.06|3.06|"Access"
"988782"|"PEKAMIN ANTIALERGICO 1 MILLON 1 INYECTABLE"|"J01CE30"|3600|0.17|1.94|1.94|"Access"
"988790"|"PEKAMIN ANTIALERGICO 1/2 MILLON 1 INYECTABLE"|"J01CE30"|3600|0.08|1.5|1.5|"Access"
"653435"|"PENILEVEL RETARD 1.000.000UI 1 VIAL POLVO SOLUCION INYECTABLE"|"J01CE30"|3600|0.18|1.8|1.8|"Access"
"716258"|"BENZETACIL 6:3:3 1 VIAL POLVO + 1 AMPOLLA DISOLV SUSPENSION INYECTABL"|"J01CE30"|3600|0.2|1.8|1.8|"Access"
"793117"|"NEOPENYL 1 MILLON UI 1 VIAL + 1 AMPOLLA INYECTABLE"|"J01CE30"|3600|0.17|2.14|2.14|"Access"
"793125"|"NEOPENYL 4 MILLONES UI 1 VIAL INYECTABLE"|"J01CE30"|3600|0.69|2.14|2.14|"Access"
"804427"|"PENILEVEL RETARD 1.000.000UI 1 VIAL POLVO SOLUCION INYECTABLE"|"J01CE30"|3600|0.17|1.48|1.48|"Access"
"798702"|"ORBENIN 500MG/VIAL 1 INYECTABLE 3,5ML"|"J01CF02"|2000|0.25|1.55|1.55|"Access"
"862417"|"ORBENIN 500MG 12 CAPSULAS"|"J01CF02"|2000|3|2.81|2.81|"Access"
"946475"|"ANACLOSIL 500MG 12 CAPSULAS"|"J01CF02"|2000|3|2.81|2.81|"Access"
"879270"|"ANACLOSIL 500MG 30 CAPSULAS"|"J01CF02"|2000|7.5|5.82|5.82|"Access"
"957993"|"ORBENIN 1G/VIAL IV 1 VIAL POLVO SOLUCION INYECTABLE"|"J01CF02"|2000|0.5|2.5|2.5|"Access"
"892281"|"CLOXACILINA IPS 500MG 1 VIAL POLVO SOLUCION INYECTABLE EFG"|"J01CF02"|2000|0.25|1.22|1.22|"Access"
"799791"|"DOBRICICLIN 500MG 24 CAPSULAS"|"J01CA04"|1500|8|3.12|3.12|"Access"
"776633"|"AMOXICILINA RATIOPHARM 1000MG 12 SOBRES EFG"|"J01CA04"|1500|8|3.12|3.12|"Access"
"949933"|"BOLCHIPEN 125MG 12 SOBRES"|"J01CA04"|1500|1|1.83|1.83|"Access"
"822510"|"AMOXICILINA SANDOZ 500MG 24 CAPSULAS EFG"|"J01CA04"|1500|8|2.65|2.65|"Access"
"826610"|"AMOXICILINA CINFA 500MG 24 CAPSULAS EFG"|"J01CA04"|1500|8|2.5|2.5|"Access"
"852996"|"AMOXICILINA ARDINE 500MG 12 CAPSULAS EFG"|"J01CA04"|1500|4|1.7|1.7|"Access"
"853002"|"AMOXICILINA ARDINE 500MG 24 CAPSULAS EFG"|"J01CA04"|1500|8|2.76|2.76|"Access"
"739557"|"DAMOXICIL 125MG/5ML 60ML SUSPENSION ORAL"|"J01CA04"|1500|1|2.11|2.11|"Access"
"710004"|"APAMOX 250MG 12 CAPSULAS"|"J01CA04"|1500|2|2.22|2.22|"Access"
"811596"|"AMOXIBACTER 500MG 12 CAPSULAS"|"J01CA04"|1500|4|2.34|2.34|"Access"
"943167"|"AMOXIMEDICAL 250MG 24 COMPRIMIDOS"|"J01CA04"|1500|4|3.04|3.04|"Access"
"715417"|"AMOXICILINA SANDOZ 500MG 12 CAPSULAS EFG"|"J01CA04"|1500|4|1.65|1.65|"Access"
"755314"|"AMOXICILINA ARDINE 500MG 24 COMPRIMIDOS EFG"|"J01CA04"|1500|8|3.15|3.15|"Access"
"755355"|"AMOXICILINA ARDINE 250MG 24 SOBRES POLVO SUSPENSION ORAL EFG"|"J01CA04"|1500|4|3.61|3.61|"Access"
"868133"|"AMOXICILINA RATIOPHARM 750MG 24 COMPRIMIDOS RECUBIERTOS EFG"|"J01CA04"|1500|12|3.12|3.12|"Access"
"909762"|"AMOXICILINA NORMON 250MG/5ML 60ML SUSPENSION EXTEMPORANEA EFG"|"J01CA04"|1500|2|2.08|2.08|"Access"
"909770"|"AMOXICILINA NORMON 250MG/5ML 120ML SUSPENSION EXTEMPORANEA EFG"|"J01CA04"|1500|4|3.36|3.36|"Access"
"882944"|"CLAMOXYL 1G 24 SOBRES POLVO SUSPENSION ORAL"|"J01CA04"|1500|16|4.15|4.15|"Access"
"909176"|"AGERPEN 500MG 16 SOBRES MONODOSIS POLVO SUSPENSION ORAL"|"J01CA04"|1500|5.33|3.12|3.12|"Access"
"911818"|"BRITAMOX 500MG 24 CAPSULAS"|"J01CA04"|1500|8|3.23|3.23|"Access"
"663466"|"AMOXICILINA/CLAVULANICO CINFA 875/125MG 12 SOBRES POLVO SUSP ORAL EFG"|"J01CR02"|1500|7|4.09|4.09|"Access"
"663467"|"AMOXICILINA/CLAVULANICO CINFA 875/125MG 16 SOBRES POLVO SUSP ORAL EFG"|"J01CR02"|1500|9.33|5.45|5.45|"Access"
"663465"|"AMOXICILINA/CLAVULANICO CINFA 875/125MG 24 COMPRIMIDOS RECUB PELIC EFG"|"J01CR02"|1500|14|8.16|8.16|"Access"
"663469"|"AMOXICILINA/CLAVULANICO CINFA 875/125MG 24 SOBRES POLVO SUSP ORAL EFG"|"J01CR02"|1500|14|8.16|8.16|"Access"
"663477"|"AMOXICILINA/CLAVULANICO CUVE 875/125MG 12 COMPRIMIDOS RECUBIERTOS EFG"|"J01CR02"|1500|7|4.09|4.09|"Access"
"900829"|"AMOXICILINA/CLAVULANICO ACOST 500/125MG 12 COMPRIMIDOS RECUB PELIC EFG"|"J01CR02"|1500|4|3.01|3.01|"Access"
"654512"|"AMOXICILINA/CLAVULANICO RANBAXY 875/125MG 12 COMPRIMID RECUB PELIC EFG"|"J01CR02"|1500|7|3.76|3.76|"Access"
"654513"|"AMOXICILINA/CLAVULANICO RANBAXY 875/125MG 24 COMPRIMIDOS RECUB PEL EFG"|"J01CR02"|1500|14|7.52|7.52|"Access"
"663503"|"AMOXICILINA/CLAVULANICO SANDOZ 500/125MG 24 SOBRES POLVO SUSP ORAL EFG"|"J01CR02"|1500|8|4.67|4.67|"Access"
"663455"|"AMOXICILINA/CLAVULANICO ARDINECLAV 500/125MG 24 COMPRIMIDOS RECUB EFG"|"J01CR02"|1500|8|4.67|4.67|"Access"
"663456"|"AMOXICILINA/CLAVULANICO ARDINECLAV 500/125MG 24 SOBRES POLVO SUSP EFG"|"J01CR02"|1500|8|4.67|4.67|"Access"
"663457"|"AMOXICILINA/CLAVULANICO ARDINECLAV 875/125MG 12 COMPRIMIDOS RECUB EFG"|"J01CR02"|1500|7|4.07|4.07|"Access"
"663461"|"AMOXICILINA/CLAVULANICO ARDINECLAV 875/125MG 12 SOBRES POLVO SUSP EFG"|"J01CR02"|1500|7|4.09|4.09|"Access"
"671911"|"AMOXICILINA/CLAVULANICO ARDINECLAV 875/125MG 24 COMPRIMIDOS RECUB EFG"|"J01CR02"|1500|14|8.16|8.16|"Access"
"671912"|"AMOXICILINA/CLAVULANICO ARDINECLAV 875/125MG 24 SOBRES POLVO SUSP EFG"|"J01CR02"|1500|14|8.16|8.16|"Access"
"663510"|"AMOXICILINA/CLAVULANICO BEXAL 500/125MG 24 COMPRIMIDOS RECUBIERTOS EFG"|"J01CR02"|1500|8|4.67|4.67|"Access"
