año_cd,ccaa_cd,zbs_residencia_cd,grupo_edad_cd,sexo_cd,tsi_cd,n_poblacion
2022,ES63,50508,10,0,7,4259
2024,ES23,120132,11,9,3,7787
2024,ES21,79,13,1,7,2910
2017,ES11,1506,12,2,6,6775
2024,ES13,709001796,3,9,0,3082
2019,ES42,54,9,2,4,2185
2024,ES23,22019,9,9,6,7550
2024,ES30,120118,12,0,1,2008
2021,ES22,79,13,0,6,9941
2021,ES43,2504,5,0,1,5182
2018,ES41,50805,3,9,8,2959
2019,ES12,120248,2,9,7,5887
2023,ES13,4906,8,9,2,1273
2023,ES23,4901,8,2,4,9193
2018,ES21,107,18,2,8,6721
2018,ES43,50505,2,9,2,308
2024,ES11,298,5,2,6,3012
2023,ES30,120255,4,9,2,5016
2021,ES63,4907,14,9,3,812
2020,ES13,50602,15,0,6,8820
2022,ES30,47005,17,9,8,7434
2018,ES30,2521,12,9,1,6792
2019,ES30,2502,11,2,6,3370
2021,ES64,120230,13,9,5,1114
2019,ES63,120241,2,9,6,3275
2022,ES43,120106,14,2,3,680
2024,ES42,120228,10,9,1,8760
2018,ES42,1202,11,1,1,6951
2018,ES41,709001795,6,2,4,9149
2023,ES70,99028,3,1,3,2484
2020,ES11,4912,18,1,4,177
2017,ES64,1215,12,2,6,7241
2021,ES43,120254,15,1,2,8154
2017,ES11,50420,3,2,5,9342
2020,ES70,50108,10,2,4,7886
2018,ES30,50801,17,1,3,1539
2022,ES63,4804,14,1,3,1121
2021,ES43,1215,15,0,5,6475
2024,ES13,9,18,9,1,9571
2018,ES63,737002031,8,1,0,5332
2021,ES61,4902,4,9,0,8711
2018,ES12,4902,17,1,0,9916
2023,ES70,747001971,7,9,1,7394
2020,ES41,66,13,0,5,4894
2018,ES21,22025,15,9,5,5774
2023,ES43,42011,9,0,4,8152
2020,ES30,42003,9,1,7,413
2024,ES70,705000998,4,1,2,7874
2020,ES70,1101,10,1,8,617
2022,ES22,66,14,9,3,1336
2020,ES22,4912,12,2,0,9648
2023,ES62,120120,4,9,6,5911
2019,ES51,50500,9,2,5,1865
2020,ES12,22013,15,2,8,1296
2021,ES23,120103,12,1,4,6194
2017,ES21,50601,10,2,4,8906
2022,ES53,060114,4,2,5,6584
2019,ES11,27002,15,1,2,8836
2024,ES13,709001788,4,1,8,7109
2024,ES11,060215,10,0,5,5379
2022,ES51,22001,12,0,7,5886
2019,ES52,737002036,16,9,7,6563
2019,ES52,42016,6,1,8,8397
2017,ES22,747001953,7,0,7,9064
2019,ES12,3611,18,9,7,9497
2019,ES61,3,2,1,7,9199
2018,ES62,737002034,13,9,5,8451
2022,ES63,4809,12,2,6,9723
2019,ES21,50502,11,0,5,6700
2017,ES12,120102,2,1,7,7612
2017,ES21,120233,12,1,7,6213
2018,ES52,734000931,9,9,0,2631
2019,ES41,4910,15,0,7,7265
2020,ES22,120255,8,9,7,1387
2017,ES64,724002220,15,0,3,1608
2023,ES70,120142,1,0,6,1924
2023,ES30,47018,2,0,7,680
2022,ES13,120126,16,1,5,4699
2020,ES24,50400,4,2,0,8224
2023,ES42,1011,11,0,1,3199
2021,ES11,724002241,4,1,2,9620
2021,ES63,27006,7,2,1,5600
2023,ES13,66,9,1,7,2919
2022,ES52,50608,12,9,1,7828
2019,ES62,709001790,18,1,3,4764
2018,ES30,120245,14,9,8,9579
2021,ES53,50421,7,9,4,4592
2021,ES64,0201,2,9,5,2643
2023,ES12,50303,18,9,0,6111
2023,ES24,734000930,10,0,4,4049
2021,ES22,060105,9,9,6,1294
2018,ES22,4813,12,1,6,8050
2023,ES24,3709,17,0,6,1509
2021,ES30,120221,13,0,3,4943
2020,ES12,724002226,15,0,8,2554
2021,ES61,2509,11,2,7,9776
2023,ES21,50421,8,9,8,9985
2017,ES70,1105,6,0,1,8463
2022,ES12,50415,14,2,6,4023
2024,ES61,4907,1,9,1,6283
2020,ES51,709001785,9,2,5,4703
2024,ES41,5413,16,2,7,1450
2019,ES51,0603,10,0,7,9587
2023,ES41,734000937,17,0,0,4628
2021,ES13,724002217,10,0,2,8814
2017,ES12,47019,11,2,8,8475
2018,ES43,120126,17,0,2,9132
2024,ES13,4802,9,9,0,5588
2023,ES24,120135,18,9,0,4036
2021,ES21,120228,12,0,7,8088
2023,ES22,742000754,17,1,3,9972
2024,ES51,9,13,1,8,8856
2019,ES64,4911,6,1,5,6218
2023,ES13,1213,10,2,0,952
2024,ES30,737002021,17,2,8,3717
2019,ES42,16063510,6,9,0,563
2021,ES21,3706,4,2,7,1837
2022,ES41,50106,5,9,0,2516
2022,ES42,120136,1,2,2,2146
2020,ES21,742000751,3,1,3,9390
2019,ES42,742000765,11,1,1,1852
2024,ES22,705001007,11,1,5,9993
2024,ES30,120216,17,9,4,7560
2017,ES30,1111,17,1,2,6214
2024,ES24,740000963,1,9,8,8720
2018,ES70,50102,4,9,0,5604
2017,ES13,2518,10,0,8,1664
2022,ES24,724002207,16,1,4,4607
2024,ES63,724002214,18,1,0,9044
2018,ES22,737002036,11,9,6,4224
2019,ES64,1004,16,2,3,5842
2022,ES42,0402,14,2,3,4583
2022,ES51,47005,8,2,3,5198
2021,ES22,124,2,0,8,5526
2021,ES70,120119,5,9,6,4404
2022,ES30,120121,14,9,6,7460
2021,ES22,27011,13,2,5,6440
2020,ES23,1104,18,1,5,4749
2021,ES41,44005,14,2,1,8608
2018,ES51,2525,9,9,4,6774
2020,ES62,120201,11,1,4,2190
2022,ES41,50400,17,0,5,8908
2022,ES61,0514,4,1,1,7006
2022,ES12,734000941,14,9,0,9152
2024,ES13,282,6,2,0,4887
2021,ES52,50410,1,1,0,9563
2018,ES30,740000965,10,2,7,9024
2018,ES51,50414,13,2,4,7721
2020,ES11,4909,1,9,8,8456
2021,ES23,50202,18,1,3,6221
2022,ES62,1112,16,0,7,2296
2019,ES12,124,3,2,5,7748
2017,ES22,27018,9,2,3,3210
2023,ES64,5410,6,9,5,7004
2017,ES62,50401,16,2,8,3359
2017,ES21,5010,9,9,0,8719
2020,ES51,85,6,1,5,3438
2019,ES52,23,2,1,1,8618
2022,ES63,24,13,2,6,5132
2022,ES30,388,13,2,4,142
2023,ES22,50111,2,2,1,403
2018,ES70,22001,2,1,6,5937
2021,ES63,4910,11,2,1,9404
2021,ES61,0209,11,9,3,7745
2024,ES51,50306,2,0,2,4328
2020,ES61,299,10,9,8,9909
2022,ES62,22024,12,0,6,4614
2018,ES30,120110,8,9,3,8766
2017,ES13,17,4,9,4,6057
2022,ES11,42006,13,0,3,7531
2020,ES52,50706,17,0,6,8052
2019,ES52,22008,5,0,8,4031
2024,ES30,120101,14,2,0,1775
2024,ES64,749001187,7,1,4,2764
2019,ES51,50302,14,0,1,3764
2018,ES30,1103,16,2,3,7716
2019,ES23,50502,9,9,6,2377
2020,ES30,709001808,2,2,4,2246
2019,ES12,69,15,1,1,502
2023,ES63,120255,15,9,6,6615
2022,ES62,45,6,1,3,9292
2019,ES62,16063610,2,0,4,4513
2024,ES62,749001188,13,0,8,7075
2017,ES30,082,3,2,6,4529
2022,ES41,22002,15,0,7,1501
2018,ES42,3614,5,2,8,9105
2022,ES24,0105,3,0,0,4588
2023,ES70,4999,9,1,6,3719
2017,ES24,66,8,1,6,1581
2018,ES24,58,13,0,8,484
2022,ES42,50402,8,2,6,3178
2020,ES12,27017,14,2,6,3569
2020,ES12,85,11,9,4,1543
2022,ES11,27009,1,0,0,2158
2023,ES22,50500,18,2,3,6931
2024,ES41,16063410,7,9,7,6792
2017,ES52,3710,5,9,4,3500
2017,ES21,120212,7,2,1,6082
2024,ES13,43006,11,0,0,9370
2018,ES63,120224,17,9,2,9710
2021,ES30,120208,10,0,7,8953
2023,ES51,2519,12,1,5,9544
2022,ES23,120117,12,9,8,5706
2019,ES13,060119,8,2,3,6699
2024,ES62,120218,18,0,4,7353
2020,ES21,50803,18,0,0,9533
2017,ES30,120239,17,9,0,808
2022,ES53,747001964,6,0,7,7022
2022,ES53,1507,9,0,8,27
2023,ES41,47047,2,2,0,2795
2019,ES43,116,11,0,8,5738
2018,ES53,16042010,4,2,8,4752
2017,ES41,120109,9,9,0,537
2020,ES43,96,5,0,3,431
2020,ES62,50106,4,0,8,5129
2019,ES64,120111,1,9,7,8848
2019,ES13,181,2,2,1,1569
2021,ES42,705000999,12,0,4,2710
2017,ES22,749001162,8,0,8,8493
2024,ES30,51,5,9,1,286
2022,ES13,120239,1,2,4,845
2022,ES51,50415,1,1,0,7289
2021,ES52,5403,14,1,7,9577
2023,ES52,35,16,2,0,4219
2023,ES21,060126,11,2,0,5605
2022,ES52,50804,12,9,4,1221
2020,ES43,50307,5,9,0,7240
2021,ES43,28,16,1,0,1264
2017,ES64,47015,5,1,0,4421
2022,ES62,051,15,2,5,2116
2021,ES43,50305,9,2,1,2664
2018,ES63,709001791,12,0,1,2557
2017,ES12,120138,18,1,7,6790
2020,ES22,50110,12,9,1,1802
2022,ES42,50600,16,0,1,1177
2019,ES23,2503,9,0,1,8250
2022,ES24,120233,4,2,2,2461
2021,ES30,27003,15,2,1,4494
2022,ES62,16063110,9,0,2,1474
2021,ES64,50403,1,1,1,781
2019,ES64,50702,8,0,7,8136
2024,ES53,197,15,2,7,7683
2019,ES51,50605,17,2,1,7408
2017,ES13,99038,15,0,6,2212
2023,ES12,734000930,9,1,1,5504
2020,ES70,709001795,2,0,8,9633
2020,ES61,060106,10,2,5,1107
2024,ES21,724002245,18,0,1,82
2021,ES43,724002215,9,2,7,4896
2019,ES22,749001184,8,2,3,2162
2022,ES70,747004070,16,2,8,9577
2023,ES30,082,13,0,0,6602
2024,ES24,50201,9,2,2,6126
2024,ES43,705000996,10,2,6,4985
2024,ES11,2505,18,2,0,7033
2024,ES63,2508,17,1,2,4077
2022,ES21,50503,2,2,2,9017
2018,ES70,120151,17,9,7,1211
2023,ES53,742000763,6,0,3,4077
2019,ES12,50202,2,1,2,1211
2018,ES22,724002242,3,1,0,351
2024,ES43,120242,4,0,2,9525
2024,ES70,734000941,11,9,6,2689
2018,ES70,50609,18,0,2,8779
2019,ES23,42016,2,2,6,8926
2021,ES61,1102,13,1,6,3827
2020,ES22,4901,12,1,2,3824
2018,ES53,749001162,9,2,8,8633
2022,ES63,724002227,16,2,7,4143
2023,ES24,737002036,9,1,5,1523
2021,ES23,060107,7,9,1,2472
2022,ES43,44010,17,2,6,3303
2023,ES51,1804,13,2,8,8586
2020,ES22,2519,18,0,3,7979
2024,ES21,3711,2,2,8,4801
2024,ES22,22002,16,2,3,3159
2022,ES12,5007,12,9,2,9644
2024,ES11,16041810,18,1,7,8352
2018,ES30,120225,17,1,7,1575
2024,ES41,737002031,17,1,4,1002
2018,ES64,747001972,4,1,7,5345
2018,ES61,50203,6,1,7,9922
2020,ES62,50511,14,1,3,8971
2019,ES30,27010,11,1,4,6257
2022,ES70,4802,5,2,7,9272
2019,ES22,120217,3,9,6,716
2023,ES13,3709,18,9,0,9648
2021,ES63,50303,3,0,4,2331
2020,ES43,47022,4,2,8,5908
2021,ES23,734000922,18,1,7,1069
2017,ES22,747001931,18,0,5,4576
2019,ES51,16082710,15,9,1,2688
2022,ES41,118,12,0,0,4939
2018,ES62,22018,16,0,0,7293
2017,ES51,724002235,5,0,5,5980
2017,ES51,50416,18,1,4,7725
2021,ES21,317,7,1,6,5621
2023,ES61,060104,1,2,3,4183
2022,ES23,705001007,10,2,4,6062
2022,ES21,120143,9,9,8,8104
2021,ES63,120246,8,9,5,5734
2023,ES64,16072810,6,0,5,8802
2019,ES62,50421,5,2,6,9611
2023,ES53,120237,5,2,2,450
2023,ES23,4814,17,1,4,4888
2017,ES13,43012,3,2,6,1692
2021,ES24,1302,18,2,4,8995
2021,ES51,737002030,1,2,1,3350
2022,ES43,120146,16,1,6,7649
2020,ES61,43005,14,1,0,9477
2019,ES24,749001189,8,0,3,3087
2020,ES51,42018,6,1,8,7749
2024,ES63,62,9,1,1,2124
2024,ES22,50103,14,1,7,1432
2023,ES52,22010,14,9,7,5851
2022,ES30,742000759,3,9,7,4104
2021,ES64,3613,17,1,7,903
2023,ES51,749001165,5,0,0,4932
2023,ES51,16092110,12,0,2,3106
2021,ES30,1102,17,2,5,5857
2024,ES51,50400,11,0,8,3196
2022,ES63,724002243,9,9,2,655
2020,ES41,47,18,1,4,9056
2021,ES70,66,5,2,8,8091
2019,ES42,120256,12,0,1,9244
2019,ES42,140301,14,2,7,2230
2023,ES64,22,2,9,4,6471
2019,ES43,43011,10,0,6,7601
2017,ES43,737002038,17,0,1,4746
2020,ES11,747001965,18,1,7,3821
2022,ES13,3706,3,1,7,8092
2020,ES42,724002243,17,2,3,6420
2023,ES53,734000925,1,2,5,9564
2024,ES24,43003,18,1,6,7980
2017,ES22,2505,5,0,0,442
2023,ES51,5020,14,9,1,6582
2018,ES13,3616,7,9,6,6855
2018,ES30,4911,10,0,7,1781
2018,ES30,747001934,13,9,2,8721
2020,ES62,50606,5,1,8,4173
2023,ES22,749001166,4,0,3,9478
2024,ES51,42005,15,2,2,884
2023,ES11,120129,8,0,8,2580
2020,ES70,737002039,16,2,1,1582
2021,ES63,742000753,4,9,8,6877
2022,ES12,98,14,9,7,5327
2024,ES51,060111,4,0,0,5445
2018,ES61,50407,9,0,2,8522
2021,ES12,067,5,1,7,9955
2017,ES22,1208,4,9,5,7100
2019,ES13,2516,5,9,7,186
2019,ES52,1208,17,2,1,9916
2019,ES22,3613,17,2,2,7724
2023,ES62,724002222,9,0,5,3081
2023,ES23,319,13,9,2,9025
2019,ES53,709001809,11,2,1,9563
2019,ES63,060204,17,2,5,6988
2021,ES61,120208,7,2,4,9340
2018,ES30,120224,13,9,6,691
2024,ES30,0213,2,9,1,8632
2022,ES61,5414,3,9,4,6682
2019,ES30,120155,2,0,0,2487
2021,ES52,737002039,3,2,7,9108
2023,ES41,740000965,15,2,6,5577
2024,ES63,4817,13,9,2,4566
2021,ES61,069,14,0,2,4011
2022,ES61,215,9,9,5,4967
2019,ES43,27010,14,1,3,7155
2018,ES30,27003,9,2,0,336
2024,ES13,71,10,1,5,6636
2020,ES70,43007,6,0,1,4051
2024,ES30,705000996,6,1,7,7908
2020,ES12,16030710,10,2,4,168
2018,ES70,113,10,9,3,2911
2021,ES41,1103,7,0,8,7503
2019,ES22,140136,17,0,6,8603
2021,ES13,724002204,17,9,4,3113
2019,ES64,16110610,8,9,3,738
2023,ES64,747004070,11,2,3,3371
2020,ES62,50500,4,9,1,5856
2020,ES61,740000963,4,9,1,7540
2019,ES70,1106,9,1,3,7394
2020,ES12,120237,15,1,1,9189
2022,ES51,120122,11,2,6,5084
2023,ES22,1110,13,9,5,3660
2017,ES64,22004,10,1,4,7067
2022,ES62,115,14,0,7,794
2020,ES12,50418,2,0,3,4095
2020,ES24,737002009,11,9,6,2483
2017,ES70,120140,10,9,3,6217
2017,ES51,740000959,9,9,4,5617
2022,ES63,2507,5,9,3,4046
2024,ES51,060116,6,1,6,9976
2020,ES30,1207,2,1,1,5322
2017,ES61,50110,2,0,7,9541
2023,ES11,1208,2,0,5,5269
2023,ES24,120266,1,9,4,6262
2024,ES64,120233,9,0,4,6502
2023,ES13,50204,12,9,3,2954
2022,ES13,120228,16,0,7,2159
2020,ES64,120111,6,0,0,5184
2024,ES61,4808,9,9,4,1400
2021,ES53,737002038,12,0,4,7527
2024,ES61,5,12,2,7,8865
2017,ES64,120151,4,2,0,7001
2017,ES11,50411,4,9,1,8962
2021,ES23,709001810,2,1,0,1236
2018,ES70,2521,15,2,7,4247
2024,ES21,216,11,1,8,4266
2020,ES12,737003692,10,2,8,1231
2023,ES63,56,14,2,0,7345
2023,ES11,3301,7,9,0,3715
2020,ES43,50508,1,2,1,374
2017,ES53,7010510,5,2,8,5129
2023,ES70,120228,5,0,2,4680
2023,ES30,120124,17,9,2,7767
2018,ES61,50502,14,2,3,8379
2023,ES30,749001178,9,2,8,9024
2019,ES23,50503,1,0,4,6665
2019,ES24,22019,17,1,5,1391
2018,ES52,724002228,17,9,1,9415
2022,ES52,50412,7,9,1,6234
2019,ES53,27006,4,1,7,342
2020,ES61,737002014,11,0,0,814
2018,ES43,50602,14,0,8,8759
2023,ES70,50609,8,2,1,2353
2017,ES61,120147,18,0,2,6042
2019,ES53,120205,14,1,4,6645
2021,ES63,1108,15,1,1,1367
2017,ES24,16063110,16,2,2,5485
2022,ES12,50508,2,2,3,7348
2017,ES22,140129,3,0,0,6824
2021,ES64,120111,4,1,0,1938
2017,ES11,3609,4,2,7,3720
2017,ES62,16084710,11,2,7,8805
2023,ES22,4999,18,9,2,865
2024,ES64,47022,9,9,6,7910
2017,ES64,124,9,9,1,2552
2021,ES52,709001791,15,0,2,5820
2019,ES22,388,3,0,0,6519
2020,ES42,060117,18,0,8,6873
2024,ES13,060210,10,2,7,4200
2017,ES11,737002028,3,9,2,8706
2021,ES62,747001963,9,1,3,3769
2020,ES13,2510,5,1,6,1732
2024,ES12,102,12,0,5,9178
2024,ES62,118,17,1,8,5257
2019,ES13,734000931,1,1,3,5981
2021,ES52,120225,12,0,6,3292
2019,ES22,749001169,3,0,3,6147
2023,ES61,120220,2,2,4,9252
2021,ES52,060205,1,2,8,6495
2017,ES11,47021,15,1,0,5037
2021,ES63,47006,17,1,7,7827
2022,ES70,50605,17,2,8,7924
2020,ES43,50705,10,1,0,134
2019,ES63,284,1,0,1,2822
2017,ES51,724002210,2,9,8,834
2021,ES64,2101,4,2,1,3478
2024,ES12,060211,16,1,3,9484
2017,ES23,709001775,12,2,0,4892
2023,ES23,120221,7,2,8,6295
2019,ES52,4803,6,1,3,9400
2023,ES24,180,11,0,4,1411
2022,ES23,169,5,1,5,3597
2021,ES61,42004,2,9,0,8014
2018,ES41,1111,2,1,0,1896
2018,ES24,50704,16,9,7,1048
2023,ES43,060111,4,1,5,3561
2022,ES53,66,18,1,3,31
2017,ES41,749001177,8,0,7,6838
2023,ES41,5412,4,1,0,9549
2024,ES23,5402,9,9,1,9663
2019,ES11,42011,10,0,2,704
2023,ES24,709001795,6,9,2,7354
2018,ES30,749001165,10,2,2,8338
2022,ES22,238,1,0,2,8115
2020,ES21,99033,1,2,3,4918
2018,ES23,50607,15,1,2,4680
2023,ES11,27015,3,0,0,1834
2018,ES22,50604,5,0,5,545
2022,ES64,5414,7,2,4,1750
2019,ES24,749001180,3,1,5,869
2018,ES11,50305,16,0,2,2259
2022,ES23,742000765,1,9,5,8717
2024,ES11,120132,16,9,4,8636
2021,ES64,120122,15,0,7,5608
2018,ES42,120142,14,1,3,8800
2018,ES23,168,11,0,2,3195
2024,ES24,120110,7,2,7,9781
2017,ES51,5414,6,1,6,8067
2022,ES41,120253,7,0,0,3607
2017,ES53,734000944,11,9,6,2531
2020,ES52,42015,3,0,4,9674
2018,ES64,1104,5,2,8,7094
2024,ES63,069,10,2,6,7725
2019,ES63,120108,12,0,4,5434
2017,ES70,120155,16,2,4,8236
2021,ES52,709001776,14,9,2,9196
2023,ES70,58,17,1,4,2953
2021,ES51,16056910,10,9,6,2074
2017,ES52,120110,10,9,7,2092
2022,ES53,120131,13,0,7,446
2022,ES52,50608,3,2,0,9325
2020,ES23,50308,5,2,8,3082
2018,ES63,120231,10,9,4,7823
2020,ES21,120208,10,9,3,8588
2018,ES30,705000989,14,1,1,8562
2021,ES21,705001000,7,0,6,5693
2017,ES70,336,8,2,6,125
2018,ES21,67,14,1,4,3527
2018,ES64,724002226,7,2,6,2736
2017,ES23,4904,9,2,2,9369
2021,ES13,52,17,9,3,5209
2022,ES52,3612,11,2,1,836
2023,ES63,705000997,12,1,4,6926
2017,ES21,5009,8,1,3,4050
2023,ES23,1502,5,2,7,5090
2024,ES43,705000990,11,9,6,7656
2018,ES22,4906,9,2,2,6135
2020,ES41,42021,7,2,0,5878
2018,ES11,4801,17,9,7,7617
2022,ES41,16053010,7,0,7,5828
2022,ES64,16090110,10,0,1,1037
2022,ES41,742000753,3,0,5,8552
2023,ES53,737002024,16,0,8,6900
2022,ES30,83,1,2,6,8595
2018,ES52,734000926,3,1,8,6320
2017,ES22,1412,8,9,1,6613
2019,ES30,50310,14,1,6,8762
2019,ES61,3303,1,0,3,2391
2024,ES24,734000922,11,1,5,7517
2022,ES43,4906,12,1,1,6593
2019,ES52,709001799,5,1,2,5907
2018,ES23,737002030,14,1,2,2005
2017,ES22,734000932,18,1,2,7820
2021,ES21,27011,4,0,3,2257
2019,ES41,724002227,10,9,7,8164
2017,ES52,737002042,3,2,4,1437
2022,ES64,120241,12,1,7,1190
2024,ES62,16032110,2,1,0,4817
2018,ES12,749001181,5,1,3,6470
2023,ES11,737002028,10,9,4,2229
2022,ES41,189,11,1,3,5048
2017,ES53,47047,5,0,7,2103
2023,ES30,236,7,9,3,9701
2022,ES30,737002029,8,9,1,3715
2020,ES52,120111,12,2,0,546
2019,ES24,120239,15,9,6,2711
2020,ES63,120203,11,9,2,2374
2023,ES23,43012,12,2,0,2248
2019,ES30,99028,13,9,7,8852
2023,ES12,50103,8,1,8,6502
2024,ES13,737002018,2,1,4,3025
2019,ES41,060209,13,1,8,6985
2023,ES13,3604,17,2,1,7753
2024,ES52,060215,4,1,6,2773
2023,ES63,705001005,4,9,3,9536
2021,ES51,737002010,15,1,5,8834
2021,ES11,43013,5,9,8,627
2021,ES22,742000765,1,1,7,1462
2019,ES42,120132,17,1,6,5585
2022,ES43,140305,15,2,4,4727
2019,ES22,3601,17,0,3,4593
2021,ES64,49,6,9,5,2813
2021,ES43,44003,9,1,1,8066
2020,ES13,50410,15,2,6,1218
2021,ES52,120208,9,2,2,7415
2019,ES12,724002231,17,1,3,8493
2019,ES21,088,10,0,7,62
2024,ES22,705000999,1,9,2,3504
2017,ES13,24,7,2,2,1470
2021,ES11,120120,12,1,7,8907
2023,ES41,705000990,12,0,4,9941
2022,ES24,724002237,4,9,5,7008
2017,ES64,47011,18,2,0,8487
2022,ES53,120227,18,1,2,3172
2017,ES70,1103,13,2,1,1483
2017,ES22,50105,13,1,0,222
2020,ES51,1206,2,9,3,9544
2021,ES43,060205,8,0,2,2852
2020,ES12,709001774,15,9,5,8766
2024,ES11,709003511,17,9,4,1319
2023,ES24,16114110,1,2,3,8282
2021,ES21,4999,1,2,5,4904
2022,ES11,740000972,7,0,2,1265
2023,ES24,737002029,13,2,6,8984
2023,ES70,076,8,2,7,710
2021,ES62,740000966,14,2,5,599
2024,ES12,85,4,2,7,6629
2017,ES52,1417,3,9,1,6766
2022,ES22,120140,2,0,7,8288
2021,ES70,120112,4,9,6,6677
2020,ES42,50410,10,2,7,4781
2022,ES30,120124,18,0,7,6587
2018,ES61,724002228,2,9,2,2646
2023,ES11,5003,7,9,0,6429
2022,ES53,50202,17,0,0,4833
2022,ES63,740000973,15,9,3,9509
2023,ES13,99038,18,1,0,6582
2021,ES41,50601,14,2,0,6617
2023,ES64,747001933,6,9,6,7833
2023,ES70,50309,5,0,0,6146
2021,ES11,50702,4,1,5,74
2021,ES52,056,12,2,2,4555
2019,ES12,50601,8,0,7,4119
2024,ES21,50803,11,1,5,7012
2022,ES43,737002010,5,1,4,2868
2020,ES13,102,4,0,7,7234
2019,ES22,742000759,18,9,6,5009
2017,ES64,50310,9,9,2,6296
2023,ES23,120124,5,2,3,9754
2024,ES24,120114,8,2,1,5435
2019,ES24,17,13,1,6,3974
2020,ES30,120223,1,0,4,4027
2023,ES42,747001941,8,2,0,2080
2021,ES62,50410,4,0,4,4220
2022,ES43,50512,8,2,1,9185
2023,ES23,27003,1,1,6,8627
2021,ES21,13,16,0,6,9551
2020,ES22,22009,6,9,5,3272
2022,ES62,1213,18,0,7,2781
2024,ES24,1015,15,2,8,1887
2022,ES64,734000944,10,0,5,3860
2018,ES63,43010,10,2,3,2919
2019,ES52,120144,8,2,0,6573
2021,ES22,50501,9,0,0,56
2019,ES61,1107,11,2,2,846
2023,ES30,50104,1,0,3,2206
2024,ES41,404,3,0,4,9416
2021,ES22,3606,14,2,8,7896
2021,ES11,0513,9,9,1,1449
2024,ES24,50605,14,0,3,5143
2018,ES70,47004,10,9,7,1169
2019,ES52,709001775,3,1,4,3626
2024,ES41,50106,9,1,3,9664
2024,ES63,734000928,16,0,0,5701
2017,ES61,120210,6,9,3,6812
2017,ES12,50411,18,1,3,495
2021,ES51,1113,15,9,1,5188
2020,ES51,4812,5,9,1,3887
2023,ES52,2512,17,2,8,9620
2019,ES63,5407,10,0,3,9079
2023,ES30,724002210,11,1,7,5949
2018,ES41,742000758,11,2,8,9150
2020,ES12,13,10,2,7,88
2019,ES61,4910,11,2,0,7486
2021,ES51,120143,5,1,7,1354
2022,ES64,50310,7,9,0,7080
2021,ES51,3611,10,1,6,4414
2019,ES52,27010,7,1,4,7500
2023,ES43,42017,15,1,8,2850
2024,ES11,50600,18,2,0,9325
2017,ES53,2513,2,0,2,9329
2020,ES43,120119,1,0,5,4472
2024,ES13,50604,16,0,3,8144
2023,ES63,724002248,13,1,6,347
2018,ES63,11,12,2,4,6572
2019,ES43,060211,13,0,5,5187
