"codigo_nacional_farmaco_cd"|"codigo_descripcion"|"atc_farmaco_dispensado_cd"|"ddd_nomenclator_nm"|"ddd_por_envase"|"pvp_nomenclator_nm"|"precio_por_envase_nm"|"mme_total"
"605572"|"TRAMADOL/PARACETAMOL CINFA 37,5MG/325MG 100 COMPRIMIDOS RECUB PELI EFG"|"N02AJ13"|300|0.33|11.97|11.97|375
"605573"|"TRAMADOL/PARACETAMOL GOIBELA 37,5/325MG 100 COMPRIMIDOS RECUB PELI EFG"|"N02AJ13"|300|0.33|11.97|11.97|375
"605777"|"DILIBAN 75MG/650MG 100 COMPRIMIDOS BLISTER"|"N02AJ13"|300|0.33|23.38|23.38|750
"605776"|"DILIBAN 75MG/650MG 100 COMPRIMIDOS FRASCO"|"N02AJ13"|300|0.33|23.38|23.38|750
"606739"|"ENANPLUS 75MG/25MG 100 COMPRIMIDOS RECUBIERTOS PELICULA (PA/AL/PVC/AL)"|"N02AJ14"|300|0.33|24.91|24.91|750
"606740"|"ENANPLUS 75MG/25MG 100 COMPRIMIDOS RECUBIERTOS PELICULA (PVC/PE/PVDC/A"|"N02AJ14"|300|0.33|24.91|24.91|750
"606741"|"ENANPLUS 75MG/25MG 100 COMPRIMIDOS RECUBIERTOS PELICULA (PVC-PVDC/AL)"|"N02AJ14"|300|0.33|24.91|24.91|750
"606229"|"PARACETAMOL/CODEINA FARMALIDER 500MG/30MG 500 COMPRIMIDOS EFG"|"N02AJ06"|90|5.56|37.87|37.87|90
"606051"|"DOLOCATIL CODEINA 500MG/15MG 500 COMPRIMIDOS TIRAS"|"N02AJ06"|90|5.56|30.65|30.65|1125
"680911"|"BREAKYL INICIO 200, 400, 600, 800MCG 4 PELICULAS BUCALES"|"N02AB03"|0.6|3.33|32.95|32.95|36
"688654"|"CAPTOR 37,5MG/325MG 20 COMPRIMIDOS TIRAS EFG"|"N02AJ13"|300|0.07|0|0|75
"711031"|"ENANPLUS 75MG/25MG 20 COMPRIMIDOS RECUBIERTOS PELICULA (PA/AL/PVC/AL)"|"N02AJ14"|300|0.07|7.1|7.1|150
"663685"|"OXYNORM 10MG/ML 5 AMPOLLAS 2ML SOLUCION INYECTABLE O PERFUSION"|"N02AA05"|30|3.33|0|0|150
"648501"|"FLUDETEN 30MG/500MG 500 COMPRIMIDOS EFERVESCENTES"|"N02AJ06"|90|5.56|42.91|42.91|2250
"740860"|"COXUMADOL 30MG/500MG 20 SOBRES GRANULADO EFERVESCENTE"|"N02AJ06"|90|0.22|2.5|2.5|90
"693134"|"IBUPROFENO (ARGININA) CODEINA FARMALIDER 200MG+10MG/ML 60ML SOLUC ORAL"|"N02AJ08"|90|0.67|4.68|4.68|90
"662206"|"NIDOL 400MG/30MG 30 COMPRIMIDOS RECUBIERTOS PELICULA"|"N02AJ08"|90|0.33|7.02|7.02|135
"901090"|"CALMOPLEX 200MG/10MG/10MG 10 COMPRIMIDOS RECUBIERTOS"|"N02AJ09"|90|0.11|1.11|1.11|15
"695494"|"AYDOLID CODEINA 1,2G/30MG 30 SOBRES GRANULADO SOLUCION ORAL"|"N02AJ09"|90|0.33|7.88|7.88|135
"891085"|"MELOKA 10 CAPSULAS"|"N02AJ09"|90|0.11|1.56|1.56|0
"662468"|"PONTALSIC 37,5MG/325MG 20 COMPRIMIDOS EFERVESCENTES"|"N02AJ13"|300|0.07|6.17|6.17|75
"682775"|"TRAMADOL/PARACETAMOL DAVUR 37,5/325MG 20 COMPRIMIDOS REC PEL BLIST EFG"|"N02AJ13"|300|0.07|2.97|2.97|75
"685153"|"TRAMADOL/PARACETAMOL STADA 37,5/325MG 60 COMPRIMIDOS RECUB PELIC EFG"|"N02AJ13"|300|0.2|8.88|8.88|225
"694341"|"TRAMADOL/PARACETAMOL VIR 37,5MG/325MG 60 COMPRIMIDOS RECUB PELICUL EFG"|"N02AJ13"|300|0.2|8.88|8.88|225
"692351"|"TRAMADOL/PARACETAMOL PENSA 37,5/325MG 60 COMPRIMIDOS (AL/PVC/PVDC) EFG"|"N02AJ13"|300|0.2|8.88|8.88|225
"708767"|"CLANDERON 75MG/650MG 20 COMPRIMIDOS EFERVESCENTES"|"N02AJ13"|300|0.07|5.92|5.92|150
"724322"|"TRAMADOL/PARACETAMOL AUROVITAS 37,5MG/325MG 20 COMPRIMIDOS REC PEL EFG"|"N02AJ13"|300|0.07|2.97|2.97|70
"727806"|"DILIBAN 75MG/650MG 60 COMPRIMIDOS EFERVESCENTES"|"N02AJ13"|300|0.2|17.75|17.75|450
"727212"|"TRAMADOL/PARACETAMOL QUALIGEN 75MG/650MG 60 COMPRIMIDOS RECUB PELICULA"|"N02AJ13"|300|0.2|17.75|17.75|450
"711360"|"CLANDERON 75MG/650MG 20 COMPRIMIDOS RECUBIERTOS PELICULA"|"N02AJ13"|300|0.07|5.92|5.92|150
"687941"|"TRAMADOL/PARACETAMOL MABO 37,5MG/325MG 60 COMPRIMIDOS RECUB PELIC EFG"|"N02AJ13"|300|0.2|8.88|8.88|225
"716158"|"TRAMADOL/PARACETAMOL STADA 37,5MG/325MG 20 COMPR REC PEL (PVC/AL) EFG"|"N02AJ13"|300|0.07|2.97|2.97|75
"716160"|"TRAMADOL/PARACETAMOL STADA 37,5MG/325MG 60 COMPR REC PEL (PVC/AL) EFG"|"N02AJ13"|300|0.2|8.88|8.88|225
"681770"|"TRAMADOL/PARACETAMOL NORMON 37,5MG/325MG 60 COMPRIMIDOS RECUB PELI EFG"|"N02AJ13"|300|0.2|8.88|8.88|225
"688667"|"TRAMADOL/PARACETAMOL APOTEX AG 37,5MG/325MG 60 COMPRIMIDOS BLISTER EFG"|"N02AJ13"|300|0.2|8.88|8.88|225
"697530"|"TRAMADOL/PARACETAMOL RATIOPHARM 75MG/650MG 60 COMPRIMIDOS RECUB PELIC"|"N02AJ13"|300|0.2|17.75|17.75|450
"697524"|"TRAMADOL/PARACETAMOL TEVA 75/650MG 60 COMPRIMIDOS REC PEL (PVC/PVDC/AL"|"N02AJ13"|300|0.2|17.75|17.75|450
"692845"|"TRAMADOL/PARACETAMOL VISO FARM 37,5MG/325MG 60 COMPRIMIDOS REC PEL EFG"|"N02AJ13"|300|0.2|8.88|8.88|225
"708741"|"CLANDERON 37,5MG/325MG 20 COMPRIMIDOS EFERVESCENTES TUBO EFG"|"N02AJ13"|300|0.07|2.97|2.97|75
"711646"|"TRAMADOL/PARACETAMOL ALTER 37,5MG/325MG 60 COMP REC PELIC (PVC-AL) EFG"|"N02AJ13"|300|0.2|8.88|8.88|225
"706631"|"TRAMADOL/PARACETAMOL QUALIGEN 37,5MG/325MG 60 COMPRIM RECUB PELIC EFG"|"N02AJ13"|300|0.2|8.88|8.88|225
"688658"|"CAPTOR 37,5MG/325MG 60 COMPRIMIDOS BLISTER EFG"|"N02AJ13"|300|0.2|8.88|8.88|225
"688662"|"CAPTOR 75MG/650MG 60 COMPRIMIDOS BLISTER"|"N02AJ13"|300|0.2|17.75|17.75|450
"711033"|"ENANPLUS 75MG/25MG 20 COMPRIMIDOS RECUBIERTOS PELICULA (PVC-PVDC/AL)"|"N02AJ14"|300|0.07|7.1|7.1|150
"721616"|"ENANPLUS 75MG/25MG 20 SOBRES GRANULADO SOLUCION ORAL"|"N02AJ14"|300|0.07|7.1|7.1|150
"704250"|"TRAMADOL/PARACETAMOL CINFA 37,5/325MG 20 COMPRIMID EFERVESC 1 TUBO EFG"|"N02AJ13"|300|0.07|2.97|2.97|75
"694339"|"TRAMADOL/PARACETAMOL ALMUS 37,5MG/325MG 20 COMPRIMIDOS RECUB PELIC EFG"|"N02AJ13"|300|0.07|2.97|2.97|75
"694345"|"TRAMADOL/PARACETAMOL FARMALIDER 37,5MG/325MG 20 COMPRIMIDOS REC PE EFG"|"N02AJ13"|300|0.07|2.97|2.97|75
"606856"|"PAXIFLAS 37,5MG/325MG 100 COMPRIMIDOS BUCODISPERSABLES EFG"|"N02AJ13"|300|0.33|10.8|10.8|375
"710691"|"PAXIFLAS 37,5MG/325MG 60 COMPRIMIDOS BUCODISPERSABLES EFG"|"N02AJ13"|300|0.2|8.88|8.88|225
"710684"|"PAXIFLAS 37,5MG/325MG 20 COMPRIMIDOS BUCODISPERSABLES EFG"|"N02AJ13"|300|0.07|2.97|2.97|75
"696643"|"DOLOCATIL CODEINA 500MG/15MG 30 COMPRIMIDOS (TIRAS)"|"N02AJ06"|90|0.33|2.5|2.5|67.5
"770370"|"ALGIDOL 650MG/10MG/500MG 20 SOBRES GRANULADO SOLUCION ORAL"|"N02AJ06"|90|0.22|3.18|3.18|30
"757435"|"TERMALDINA CODEINA 300MG/15MG 20 CAPSULAS"|"N02AJ06"|90|0.22|2.26|2.26|153
"666479"|"DOLOCATIL CODEINA 325MG/15MG 20 COMPRIMIDOS"|"N02AJ06"|90|0.22|1.98|1.98|45
"877076"|"ANALGIPLUS 500MG/30MG 20 COMPRIMIDOS RECUBIERTOS PELICULA"|"N02AJ06"|90|0.22|2.34|2.34|90
"669549"|"COD-EFFERALGAN 500MG/30MG 20 COMPRIMIDOS EFERVESCENTES"|"N02AJ06"|90|0.22|2.5|2.5|90
"696906"|"DOLOMEDIL 500MG/10MG 20 COMPRIMIDOS"|"N02AJ06"|90|0.22|2.39|2.39|30
"741512"|"ALGIDOL 650MG/10MG/500MG 12 SOBRES GRANULADO SOLUCION ORAL"|"N02AJ06"|90|0.13|2.2|2.2|18
"698737"|"PARACETAMOL/CODEINA FARMALIDER 500MG/30MG 20 COMPRIMIDOS EFG"|"N02AJ06"|90|0.22|2.34|2.34|90
"698736"|"PARACETAMOL/CODEINA PENSA 500MG/30MG 20 COMPRIMIDOS EFG"|"N02AJ06"|90|0.22|2.34|2.34|90
"652884"|"FLUDETEN 30MG/500MG 20 COMPRIMIDOS EFERVESCENTES"|"N02AJ06"|90|0.22|2.5|2.5|90
"672658"|"PARACETAMOL/CODEINA KERN PHARMA 500MG/30MG 20 COMPRIMIDOS EFG"|"N02AJ06"|90|0.22|2.34|2.34|90
"650098"|"DOLVIRAN 400MG/10MG/50MG 10 SUPOSITORIOS ADULTOS"|"N02AJ07"|90|44.44|1.86|1.86|15
"650097"|"DOLVIRAN 400MG/10MG/50MG 20 COMPRIMIDOS"|"N02AJ07"|90|88.89|1.76|1.76|30
"747105"|"DOLMEN 500MG/10MG/250MG 20 COMPRIMIDOS EFERVESCENTES"|"N02AJ07"|90|111.11|3.06|3.06|30
"688288"|"ASTEFOR 400MG/30MG 30 SOBRES GRANULADO SUSPENSION ORAL"|"N02AJ08"|90|0.33|7.02|7.02|135
"662207"|"NEOBRUFEN CON CODEINA 400MG/30MG 30 COMPRIMIDOS RECUBIERTOS PELICULA"|"N02AJ08"|90|0.33|7.02|7.02|135
"658621"|"ASTEFOR 400MG/30MG 30 COMPRIMIDOS RECUBIERTOS PELICULA"|"N02AJ08"|90|0.33|7.02|7.02|135
"693133"|"IBUPROFENO (ARGININA) CODEINA FARMALIDER (200MG+10MG)/ML 30ML 1 FRASCO"|"N02AJ08"|90|0.33|2.5|2.5|45
"681990"|"TRAMADOL/PARACETAMOL KERN PHARMA 37,5/325MG 20 COMPRIM RECUB PELIC EFG"|"N02AJ13"|300|0.07|2.97|2.97|75
"668186"|"FLUDETEN 30MG/500MG 20 COMPRIMIDOS EFERVESCENTES"|"N02AJ06"|90|0.22|3.12|3.12|90
